Call  | Code | PC      | Cyc   | SP      | regA | regB | regC | regD | regE | regH | regL |flgZ|flgS|flgP|flgC|flgAC|
40106 | 0x05 | 0x01442 |     0 | 0x 23f6 | 0x00 | 0x08 | 0x00 | 0x1e | 0xd1 | 0x28 | 0x3c |  0 |  0 |  0 |  0 |   0 | 
40107 | 0xc2 | 0x01443 |     0 | 0x 23f6 | 0x00 | 0x07 | 0x00 | 0x1e | 0xd1 | 0x28 | 0x3c |  0 |  0 |  0 |  0 |   0 | 
40108 | 0xc5 | 0x01439 |     0 | 0x 23f6 | 0x00 | 0x07 | 0x00 | 0x1e | 0xd1 | 0x28 | 0x3c |  0 |  0 |  0 |  0 |   0 | 
40109 | 0x1a | 0x0143a |     0 | 0x 23f4 | 0x00 | 0x07 | 0x00 | 0x1e | 0xd1 | 0x28 | 0x3c |  0 |  0 |  0 |  0 |   0 | 
40110 | 0x77 | 0x0143b |     0 | 0x 23f4 | 0x3e | 0x07 | 0x00 | 0x1e | 0xd1 | 0x28 | 0x3c |  0 |  0 |  0 |  0 |   0 | 
40111 | 0x13 | 0x0143c |     0 | 0x 23f4 | 0x3e | 0x07 | 0x00 | 0x1e | 0xd1 | 0x28 | 0x3c |  0 |  0 |  0 |  0 |   0 | 
40112 | 0x01 | 0x0143d |     0 | 0x 23f4 | 0x3e | 0x07 | 0x00 | 0x1e | 0xd2 | 0x28 | 0x3c |  0 |  0 |  0 |  0 |   0 | 
40113 | 0x09 | 0x01440 |     0 | 0x 23f4 | 0x3e | 0x00 | 0x20 | 0x1e | 0xd2 | 0x28 | 0x3c |  0 |  0 |  0 |  0 |   0 | 
40114 | 0xc1 | 0x01441 |     0 | 0x 23f4 | 0x3e | 0x00 | 0x20 | 0x1e | 0xd2 | 0x28 | 0x5c |  0 |  0 |  0 |  0 |   0 | 
40115 | 0x05 | 0x01442 |     0 | 0x 23f6 | 0x3e | 0x07 | 0x00 | 0x1e | 0xd2 | 0x28 | 0x5c |  0 |  0 |  0 |  0 |   0 | 
40116 | 0xc2 | 0x01443 |     0 | 0x 23f6 | 0x3e | 0x06 | 0x00 | 0x1e | 0xd2 | 0x28 | 0x5c |  0 |  0 |  1 |  0 |   0 | 
40117 | 0xc5 | 0x01439 |     0 | 0x 23f6 | 0x3e | 0x06 | 0x00 | 0x1e | 0xd2 | 0x28 | 0x5c |  0 |  0 |  1 |  0 |   0 | 
40118 | 0x1a | 0x0143a |     0 | 0x 23f4 | 0x3e | 0x06 | 0x00 | 0x1e | 0xd2 | 0x28 | 0x5c |  0 |  0 |  1 |  0 |   0 | 
